"kata"
"mata-mata"
"abadi"
"absen"
"abu"
"acuh"
"adil"
"aduh"
"agresi"
"aib"
"ajaib"
"ajar"
"akal"
"alas"
"alibi"
"alien"
"aman"
"ambigu"
"ambisi"
"amoral"
"anarki"
"anarkis"
"ancam"
"aneh"
"anggun"
"angkuh"
"anjing"
"anomali"
"antagoni"
"anti-sosial"
"antipati"
"apes"
"api"
"arogan"
"asam"
"asap"
"asing"
"asli"
"asmara"
"astaga"
"asyik"
"autentik"
"aversi"
"awas"
"awur"
"ayam"
"ayu"
"azab"
"babu"
"bacot"
"badai"
"badut"
"bagus"
"bahagia"
"bahaya"
"baik"
"bail"
"bajing"
"bakat"
"banci"
"bandel"
"bandit"
"bangga"
"bangkrut"
"bangsat"
"bgst"
"banjir"
"barbar"
"basi"
"batu"
"bau"
"baut"
"bawa"
"bawah"
"bayar"
"beban"
"bego"
"bekas"
"bekicot"
"bahan"
"benar"
"bencana"
"benci"
"bencong"
"bendahara"
"bengkok"
"bening"
"bentrok"
"adab"
"adaptasi"
"agam"
"berani"
"beranta"
"antem"
"berapi-api"
"arti"
"berat"
"bagi"
"balik"
"baring"
"beda"
"bisa"
"bohong"
"buih"
"canda"
"cinta"
"dalih"
"darah"
"daya"
"detak"
"dosa"
"duka"
"dur"
"gembira"
"geming"
"gerak"
"gulat"
"gumam"
"guna"
"harap"
"harga"
"hasil"
"henti"
"risiko"
"janji"
"juang"
"judi"
"kabung"
"kaca"
"karat"
"berkat"
"kelas"
"liar"
"konspirasi"
"kualitas"
"kubang"
"kurang"
"lagak"
"lebih"
"lumpur"
"main"
"martabat"
"megah"
"moral"
"musuh"
"nafsu"
"nila"
"nyawa"
"rongga"
"dapat"
"pengaruh"
"perang"
"prestasi"
"pura"
"saing"
"salah"
"santa"
"sedih"
"selisih"
"semangat"
"senjata"
"sera"
"bersih"
"sukacita"
"sumpah"
"tabrak"
"tengkar"
"tentang"
"turut"
"ubah"
"untung"
"utang"
"besar"
"betah"
"betul"
"biasa"
"biaya"
"bijak"
"bijaksana"
"bilang"
"binasa"
"binatang"
"bingung"
"blah"
"blok"
"blokir"
"bloon"
"blunder"
"bocor"
"bodoh"
"bolos"
"bom"
"bonus"
"boros"
"bosan"
"brengsek"
"brillian"
"brutal"
"buang"
"buas"
"buat"
"bubar"
"budek"
"bukti"
"bulu"
"bundar"
"bunga"
"buntung"
"burit"
"buron"
"buru"
"buruk"
"busuk"
"buta"
"cabul"
"cacat"
"cambuk"
"canggung"
"cantik"
"cawe-cawe"
"cedera"
"cekcok"
"cekikik"
"cela"
"celaka"
"celoteh"
"cemas"
"cemberut"
"cemburu"
"cemerlang"
"cemooh"
"cepat"
"cerah"
"cerca"
"cerdas"
"cerdik"
"ceria"
"ceroboh"
"cetar"
"cium"
"coba"
"cocok"
"cong"
"congor"
"corong"
"cukup"
"cuma"
"curang"
"cute"
"dahsyat"
"damai"
"dangkal"
"dara"
"darurat"
"dasar"
"defensif"
"defisit"
"delusi"
"delusional"
"demam"
"dendam"
"dengki"
"dewasa"
"aku"
"diam"
"batal"
"bebas"
"culik"
"curi"
"dukung"
"hapus"
"hindar"
"hormat"
"ingin"
"jelas"
"kagum"
"kena"
"diktator"
"landa"
"dilema"
"lihat"
"manja"
"dinamis"
"dingin"
"nyala"
"pecat"
"percaya"
"debat"
"parah"
"tanya"
"pikir"
"pilih"
"potong"
"puji"
"pukul"
"ragu"
"rampas"
"rugi"
"sayang"
"diskriminasi"
"suka"
"tendang"
"tindas"
"tunggu"
"diva"
"doa"
"doang"
"doank"
"dodol"
"dogmatis"
"dominasi"
"drama"
"duh"
"dungu"
"duniawi"
"dusta"
"egois"
"ekonomis"
"eksentrik"
"eks"
"elegan"
"eliminasi"
"emas"
"emosi"
"emosional"
"enak"
"eneg"
"enerjik"
"enggan"
"epidemi"
"erosi"
"error"
"fanatik"
"fantastis"
"fasis"
"firasat"
"fitnah"
"gagal"
"gagap"
"gaib"
"gairah"
"ganas"
"ganggu"
"ganteng"
"gedebuk"
"gejala"
"gejolak"
"gelandang"
"gelap"
"gelisah"
"gemar"
"gembor"
"gemes"
"gemetar"
"gempar"
"gencar"
"genting"
"gerah"
"geram"
"gerilya"
"gerombol"
"gesit"
"getah"
"gila"
"glamor"
"glori"
"goda"
"gosip"
"goyah"
"grogi"
"gugat"
"gurun"
"hadiah"
"haha"
"halang"
"halus"
"hama"
"hambar"
"hancur"
"hangat"
"hangus"
"haram"
"harmoni"
"harmonik"
"harmonisasi"
"harum"
"hates"
"hati"
"haus"
"hebat"
"heboh"
"hehe"
"hero"
"hey"
"hikmat"
"hiks"
"hilang"
"hina"
"hiruk"
"histeria"
"histeris"
"hiu"
"hoho"
"homo"
"hore"
"hujat"
"humor"
"ibadah"
"iblis"
"idiot"
"idola"
"ilegal"
"ilegalitas"
"imajinatif"
"iman"
"impersonal"
"impi"
"impulsif"
"imut"
"indah"
"inefisiensi"
"inflasi"
"ingus"
"inkonsisten"
"insentif"
"inspirasi"
"inspirator"
"intelek"
"intoleran"
"intrusi"
"irasional"
"iri"
"ironi"
"ironis"
"jahat"
"jalang"
"jamin"
"jarang"
"jatuh"
"jauh"
"jeblok"
"jeda"
"jelek"
"jengkel"
"jenis"
"jera"
"jerit"
"jijik"
"jinak"
"jongos"
"jujur"
"juluk"
"jurang"
"kabur"
"kacau"
"kacung"
"kaku"
"kalah"
"kalap"
"kambuh"
"kampung"
"kampret"
"kangen"
"kanibal"
"kanker"
"kasar"
"kasihan"
"kawin"
"kaya"
"kebaji"
"kebal"
"banget"
"banting"
"sama"
"bising"
"kebo"
"buntu"
"keburu"
"kecam"
"kecewa"
"kecil"
"curiga"
"kedok"
"kedut"
"gemuk"
"goyang"
"kejam"
"kejang"
"keji"
"kejut"
"kek"
"kekanak-kanakan"
"kasih"
"keliru"
"keras"
"kering"
"khawatir"
"kosong"
"kuat"
"lalai"
"lamban"
"langka"
"lapar"
"keledai"
"lelah"
"lemah"
"letih"
"keluar"
"lumpuh"
"macet"
"mahal"
"makmur"
"malang"
"malas"
"marah"
"mati"
"kembali"
"menang"
"merosot"
"miskin"
"mudah"
"mulia"
"munafik"
"mundur"
"murka"
"nakal"
"kencing"
"kendala"
"nyaman"
"palsu"
"keparat"
"kepo"
"puas"
"rahasia"
"ramah"
"kere"
"keren"
"kerepot"
"ribut"
"kerikil"
"rindu"
"riuh"
"keruh"
"kerumit"
"rusa"
"rusuh"
"kerut"
"sakit"
"kesan"
"sanggup"
"sejuk"
"keseleo"
"sembrono"
"serakah"
"serius"
"seru"
"setia"
"sia"
"kesiap"
"sombong"
"sukar"
"sukses"
"sulit"
"suram"
"susah"
"takut"
"tangguh"
"ketat"
"tegang"
"tenar"
"batas"
"belakang"
"buka"
"terlalu"
"libat"
"ketidakbenaran"
"ketidakjujuran"
"ketidakjujuranmu"
"ketidakmampuan"
"ketidaknyamanan"
"ketidakpedulian"
"ketidakpercayaan"
"ketidakpuasan"
"ketidaksamaan"
"ketidaksenangan"
"ketidakstabilan"
"ketidaktaatan"
"ketidaktelitian"
"ketidaktepatan"
"ketidaktertarikan"
"unggul"
"wajib"
"zalim"
"khas"
"khusus"
"khusyuk"
"kikir"
"kikuk"
"klik"
"kloning"
"knalpot"
"koar"
"kocok"
"kok"
"kokoh"
"kolusi"
"kombat"
"komedi"
"komit"
"kompak"
"kompatible"
"komplain"
"komplikasi"
"konflik"
"konsisten"
"konspirator"
"konsumtif"
"kontaminan"
"kontroversi"
"konyol"
"korban"
"korosi"
"korosif"
"korup"
"korupsi"
"kotor"
"kram"
"kreatif"
"kresek"
"krisis"
"kritik"
"kritikus"
"kritis"
"kronis"
"kubur"
"kira"
"kuman"
"kuno"
"kurung"
"kurus"
"kusam"
"kutu"
"kuyu"
"kw"
"laba"
"labil"
"laku"
"lama"
"lambat"
"lampir"
"lag"
"lapor"
"lawan"
"layak"
"layu"
"ledak"
"lega"
"lelucon"
"lemak"
"lemas"
"lembut"
"lot"
"lendir"
"lenyap"
"lezat"
"licik"
"likuidasi"
"limbah"
"linglung"
"lintas"
"lipsync"
"logis"
"lokal"
"los"
"lucu"
"luka"
"lumayan"
"lumrah"
"lusuh"
"mabuk"
"maju"
"maki"
"maksa"
"malaikat"
"malapetaka"
"malu"
"malu-maluin"
"mampu"
"mana"
"manfaat"
"mangkal"
"maniak"
"manipulasi"
"manis"
"mantab"
"mantap"
"manusiawi"
"marjinal"
"martir"
"masalah"
"masochis"
"langgar"
"melankolis"
"larang"
"leceh"
"melempem"
"lengking"
"lengser"
"lepas"
"lepuh"
"meleset"
"melet"
"lilit"
"limpah"
"melodramatis"
"lucut"
"melulu"
"lumur"
"luncur"
"maaf"
"pada"
"madam"
"paksa"
"memar"
"pasang"
"bajak"
"bakar"
"balas"
"membanding-bandingka"
"banding"
"ban"
"bantu"
"basmi"
"bentak"
"beri"
"kati"
"bongkar"
"bual"
"membully"
"bunuh"
"butuh"
"pecah"
"memek"
"pekik"
"peluk"
"penjara"
"mikat"
"minta"
"pisah"
"mohon"
"budak"
"ingat"
"perkosa"
"populer"
"provokasi"
"muas"
"pudar"
"puja"
"pukau"
"muntah"
"musnah"
"putus"
"nafi"
"tahan"
"najis"
"takjub"
"takluk"
"tampar"
"tangkal"
"tangkap"
"tantang"
"tarik"
"cabut"
"caci"
"campur"
"capai"
"catut"
"cekek"
